gender,age_group,component,column_name,p5,p10,p25,p50,p75,p90,p95,mean,std,count
F,60-69세,체성분,MESURE_IEM_018_VALUE,17.98526341273759,19.54916462172117,21.536199380648608,23.569687829156862,25.676745462507043,27.87245356733606,29.368231214400346,23.647672099490258,3.3809818852197013,37476
F,70-79세,근력,MESURE_IEM_008_VALUE,9.0,11.0,16.8,20.8,24.0,26.6,28.3,19.996231223693865,5.811206262515171,25897
F,70-79세,심폐지구력,MESURE_IEM_020_VALUE,13.0,19.0,31.0,54.0,84.0,100.0,100.0,57.24007797270956,30.369756743523673,3078
F,70-79세,유연성,MESURE_IEM_012_VALUE,0.0,3.3,8.5,13.5,18.1,22.0,24.0,12.920905848228283,7.5807829162645834,25512
F,70-79세,민첩성,MESURE_IEM_022_VALUE,69.0,75.0,85.0,97.0,107.0,116.0,121.0,96.03317183462532,17.41567102277987,3096
F,70-79세,체성분,MESURE_IEM_018_VALUE,16.220806660195343,17.936120401864446,21.454662498673557,23.86499094376523,26.13809198865549,28.377356721595923,29.942598897107793,23.669016734170185,3.930498373467193,25944
F,80-89세,근력,MESURE_IEM_008_VALUE,8.6,10.4,13.7,17.6,20.7,23.7,25.3,17.28814374107568,5.197595819026739,6303
F,80-89세,심폐지구력,MESURE_IEM_020_VALUE,16.0,20.0,32.0,61.0,100.0,100.0,100.0,61.191275167785236,31.825920513793317,298
F,80-89세,유연성,MESURE_IEM_012_VALUE,-6.0,-1.0399999999999978,4.1,9.8,14.5,19.0,21.0,8.991596182326806,8.120051005219038,6077
F,80-89세,민첩성,MESURE_IEM_022_VALUE,73.0,80.0,90.0,100.0,110.0,120.0,125.0,99.62392026578073,16.507485955780425,301
F,80-89세,체성분,MESURE_IEM_018_VALUE,18.221163725465356,19.89346800734073,21.944683270661983,24.22825460013062,26.633282419366328,29.010644544080826,30.37740784991642,24.291812419800777,3.702689014271146,6322
F,90세+,근력,MESURE_IEM_008_VALUE,6.1,7.07,10.075,13.350000000000001,16.225,20.03,22.029999999999998,13.342857142857143,4.786372582048261,308
